Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
40,33.2,907.243431558,21.8676356126,21.808421436,22.0951436181,72.8194535719,0.217103743375,0.259692184918
41,32.8,929.506246282,22.6776288333,21.7306671085,22.0951436181,72.8194535719,0.217103743375,0.259692184918
42,32.4,952.598689224,23.528126859,21.6221536149,22.0951436181,72.8194535719,0.217103743375,0.259692184918
43,32,976.5625,21.2675532573,21.4948657833,22.0951436181,72.8194535719,0.217103743375,0.259692184918
44,31.7,995.133795739,22.0842737881,21.6254376975,22.0951436181,72.8194535719,0.217103743375,0.259692184918
45,31.3,1020.73104758,22.724465294,21.7871562796,22.0951436181,72.8194535719,0.217103743375,0.259692184918
46,31,1040.58272633,20.1440837409,21.7990867198,22.0951436181,72.8194535719,0.217103743375,0.259692184918
47,30.7,1061.01921506,20.7404927923,21.7273752953,22.0951436181,72.8194535719,0.217103743375,0.259692184918
48,30.4,1082.06371191,21.3606808784,21.777026004,22.0951436181,72.8194535719,0.217103743375,0.259692184918
49,30.1,1103.74057681,22.0058450488,21.7809813091,22.0951436181,72.8194535719,0.217103743375,0.259692184918
50,29.8,1126.07540201,22.6772554018,21.7250186631,22.0951436181,72.8194535719,0.217103743375,0.259692184918
51,29.5,1149.09508762,23.3762603391,21.580913831,22.0951436181,72.8194535719,0.217103743375,0.259692184918
52,29.2,1172.82792269,19.9827772371,21.7032210745,22.0951436181,72.8194535719,0.217103743375,0.259692184918
53,29,1189.06064209,20.6105260242,21.7830635687,22.0951436181,72.8194535719,0.217103743375,0.259692184918
54,28.7,1214.04897474,21.0437017299,21.7143610815,22.0951436181,72.8194535719,0.217103743375,0.259692184918
55,28.5,1231.14804555,21.7165216358,21.8560336232,22.0951436181,72.8194535719,0.217103743375,0.259692184918
56,28.2,1257.48201801,22.1810792646,21.9006411738,22.0951436181,72.8194535719,0.217103743375,0.259692184918
57,28,1275.51020408,22.9030890558,21.8743642803,22.0951436181,72.8194535719,0.217103743375,0.259692184918
58,27.7,1303.28819612,23.4019227526,21.8048220783,22.0951436181,72.8194535719,0.217103743375,0.259692184918
59,27.5,1322.31404959,19.2356936995,21.5422257546,22.0951436181,72.8194535719,0.217103743375,0.259692184918
60,27.3,1341.75958352,19.6615915109,21.5010268009,22.0951436181,72.8194535719,0.217103743375,0.259692184918
61,27.1,1361.63723261,20.100156003,21.6044841329,22.0951436181,72.8194535719,0.217103743375,0.259692184918
62,26.9,1381.95989552,20.5518616096,21.07766469,22.0951436181,72.8194535719,0.217103743375,0.259692184918
63,26.7,1402.74095583,21.0172042495,20.4394614883,22.0951436181,72.8194535719,0.217103743375,0.259692184918
64,26.5,1423.99430402,21.4967024704,19.9793756177,22.0951436181,72.8194535719,0.217103743375,0.259692184918
65,26.3,1445.73436077,21.9908986631,19.0973393399,22.0951436181,72.8194535719,0.217103743375,0.259692184918
66,26.1,1467.97610135,22.5003603501,18.1903044869,22.0951436181,72.8194535719,0.217103743375,0.259692184918
67,25.9,1490.73508147,17.1687307689,17.5542478783,22.0951436181,72.8194535719,0.217103743375,0.259692184918
68,25.8,1502.31356289,17.5719123907,16.6219111893,22.0951436181,72.8194535719,0.217103743375,0.259692184918
69,25.6,1525.87890625,17.778243547,15.3176335546,22.0951436181,72.8194535719,0.217103743375,0.259692184918
70,25.5,1537.87004998,12.0620968781,14.028574862,22.0951436181,72.8194535719,0.217103743375,0.259692184918
71,25.4,1550.00310001,12.2051271757,13.0605313838,22.0951436181,72.8194535719,0.217103743375,0.259692184918
72,25.3,1562.28030433,12.3504278251,12.0600077485,22.0951436181,72.8194535719,0.217103743375,0.259692184918
73,25.2,1574.70395566,12.498044053,11.0713206603,22.0951436181,72.8194535719,0.217103743375,0.259692184918
