Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
20,39.1,654.103518423,31.7007762106,29.4853399828,31.4920005125,54.0074993885,0.229422626605,0.198947974901
21,38.2,685.28823223,30.4077048854,30.3568505468,31.4920005125,54.0074993885,0.229422626605,0.198947974901
22,37.4,714.918928194,30.612774207,30.7619198755,31.4920005125,54.0074993885,0.229422626605,0.198947974901
23,36.6,746.513780644,30.4953158941,31.5404993486,31.4920005125,54.0074993885,0.229422626605,0.198947974901
24,35.9,775.909559982,30.2813328183,32.0782514957,31.4920005125,54.0074993885,0.229422626605,0.198947974901
25,35.2,807.076446281,29.7003371197,32.6604378919,31.4920005125,54.0074993885,0.229422626605,0.198947974901
26,34.6,835.310234221,28.9877284166,33.1884157257,31.4920005125,54.0074993885,0.229422626605,0.198947974901
27,34,865.051903114,30.5502685254,32.5113658649,31.4920005125,54.0074993885,0.229422626605,0.198947974901
28,33.4,896.410771272,35.0740447021,31.4472082499,31.4920005125,54.0074993885,0.229422626605,0.198947974901
29,32.7,935.199992518,34.0290960585,31.1081712834,31.4920005125,54.0074993885,0.229422626605,0.198947974901
30,32.2,964.468963389,29.9669016102,30.9589094561,31.4920005125,54.0074993885,0.229422626605,0.198947974901
31,31.7,995.133795739,31.407858871,30.9451211473,31.4920005125,54.0074993885,0.229422626605,0.198947974901
32,31.2,1027.28468113,36.4157583739,31.0305944613,31.4920005125,54.0074993885,0.229422626605,0.198947974901
33,30.6,1067.96531249,34.579228664,31.2851170459,31.4920005125,54.0074993885,0.229422626605,0.198947974901
34,30.2,1096.44313846,29.0550447611,31.1848238439,31.4920005125,54.0074993885,0.229422626605,0.198947974901
35,29.8,1126.07540201,30.2411083586,31.3257014148,31.4920005125,54.0074993885,0.229422626605,0.198947974901
36,29.4,1156.92535518,31.4926200419,31.5952405821,31.4920005125,54.0074993885,0.229422626605,0.198947974901
37,29,1189.06064209,28.5618097798,31.637180447,31.4920005125,54.0074993885,0.229422626605,0.198947974901
38,28.7,1214.04897474,29.7751391292,31.5211470907,31.4920005125,54.0074993885,0.229422626605,0.198947974901
39,28.3,1248.61092035,30.730614673,31.2598570279,31.4920005125,54.0074993885,0.229422626605,0.198947974901
40,28,1275.51020408,27.3386378838,31.4152070612,31.4920005125,54.0074993885,0.229422626605,0.198947974901
41,27.7,1303.28819612,28.2366929403,31.2304449917,31.4920005125,54.0074993885,0.229422626605,0.198947974901
42,27.4,1331.98358996,29.1745182448,30.7168367746,31.4920005125,54.0074993885,0.229422626605,0.198947974901
43,27.1,1361.63723261,30.1543400156,30.0112011203,31.4920005125,54.0074993885,0.229422626605,0.198947974901
44,26.8,1392.29226999,31.1785357071,29.3347099201,31.4920005125,54.0074993885,0.229422626605,0.198947974901
45,26.5,1423.99430402,32.249646135,28.4672877745,31.4920005125,54.0074993885,0.229422626605,0.198947974901
46,26.2,1456.79156226,33.3703887229,27.2535897616,31.4920005125,54.0074993885,0.229422626605,0.198947974901
47,25.9,1490.73508147,28.6179510975,26.2532496952,31.4920005125,54.0074993885,0.229422626605,0.198947974901
48,25.7,1514.02746446,23.5674842561,25.0336605414,31.4920005125,54.0074993885,0.229422626605,0.198947974901
49,25.5,1537.87004998,30.3382455991,23.7174537992,31.4920005125,54.0074993885,0.229422626605,0.198947974901
50,25.2,1574.70395566,24.7031712287,22.3859235467,31.4920005125,54.0074993885,0.229422626605,0.198947974901
51,25.1,1587.27639244,19.0866280008,20.9597600558,31.4920005125,54.0074993885,0.229422626605,0.198947974901
52,24.9,1612.87721166,19.3170587237,19.4918470679,31.4920005125,54.0074993885,0.229422626605,0.198947974901
53,24.8,1625.91050989,19.7891686439,17.501242214,31.4920005125,54.0074993885,0.229422626605,0.198947974901
54,24.6,1652.45554895,20.031000784,15.6065371497,31.4920005125,54.0074993885,0.229422626605,0.198947974901
55,24.5,1665.97251145,6.75848125391,14.1301042172,31.4920005125,54.0074993885,0.229422626605,0.198947974901
56,24.5,1665.97251145,6.84174749816,12.4635449632,31.4920005125,54.0074993885,0.229422626605,0.198947974901
57,24.4,1679.65600645,6.84174749816,10.8247113284,31.4920005125,54.0074993885,0.229422626605,0.198947974901
58,24.4,1679.65600645,6.92638719657,9.25848920344,31.4920005125,54.0074993885,0.229422626605,0.198947974901
